,Tweets,len,ID,Date,Likes,RTs,sentiment
0,Fisherman bitten by porbeagle shark off Cornwall coast https://t.co/McSyefgIat,78,996092538699345922,2018-05-14 18:19:02,21,10,
1,Jamie Oliver backs Scotland's obesity targets https://t.co/PrwmBb7mIQ,69,996085615442702337,2018-05-14 17:51:31,35,11,
2,Lois Lane actress Margot Kidder dies aged 69 https://t.co/sr3x1g9r13,68,996079715315273728,2018-05-14 17:28:05,205,171,
3,Barnier: 'Little progress' in Brexit talks since March https://t.co/f44HWb2HBS,78,996078491656388609,2018-05-14 17:23:13,37,18,
4,DR Congo: Why tourists go to Virunga National Park https://t.co/e3zWzBQ6m0,74,996077352496041984,2018-05-14 17:18:41,35,18,
5,"RT @bbcgetinspired: #Ramadan starts this week - so here's all you need to know about how to exercise, eat and sleep well while fasting. 

??",140,996072841228488708,2018-05-14 17:00:46,0,10,
6,"RT @BBCtrending: ? Debate around the term ""gammon"" continues.

No idea what's going on? We've got you https://t.co/mOlwYEgIGc",125,996070245818425350,2018-05-14 16:50:27,0,13,
7,Naomi Musenga death: Emergency operator blames pressure after mocking caller https://t.co/HokCoF8sv2,100,996068378048638976,2018-05-14 16:43:02,24,20,
8,England World Cup squad: Who goes to Russia? Statistics and numbers https://t.co/yru5a0SePy,91,996066229503889408,2018-05-14 16:34:29,24,9,
9,100-ball competition plans because young people 'not attracted to cricket' https://t.co/iy9F7aBqhg,98,996065029760970752,2018-05-14 16:29:43,18,4,
10,Why your social media is covered in gammon https://t.co/vHfnzACw1S,66,996063071847231488,2018-05-14 16:21:56,81,60,
11,RT @bbclaurak: Barnier on progress - 'not little but a little.There remains 2 rounds of negotiation and nobody must underestimate the key r?,140,996062285872467968,2018-05-14 16:18:49,0,36,
12,Club 18-30: Are millennials responsible for its downfall? https://t.co/HXM24Ao3O4,81,996060630175100930,2018-05-14 16:12:14,51,16,
13,Does LeBron James really have a photographic memory? https://t.co/z3Lma873Hd,76,996052834897551360,2018-05-14 15:41:16,39,12,
